Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Value,CLTV,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
1,Offer E,No,0.0,No,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,3,1,5433,Male,78,No,Yes,No,No,0
8,Offer E,Yes,48.85,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,3,1,5302,Female,74,No,Yes,Yes,Yes,1
18,Offer D,Yes,11.33,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,1,3179,Male,71,No,Yes,No,Yes,3
25,Offer C,Yes,19.76,No,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.0000000000001,2995.07,2,1,5337,Female,78,No,Yes,Yes,Yes,1
37,Offer C,Yes,6.33,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,2,1,2793,Female,80,No,Yes,Yes,Yes,1
27,Offer C,Yes,3.33,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,1,1,4638,Female,72,No,Yes,No,Yes,1
1,Offer E,Yes,15.28,No,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,2,1,3964,Female,76,No,Yes,Yes,Yes,2
58,Offer B,No,0.0,No,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,1,1,5444,Male,66,No,Yes,Yes,No,0
15,Offer D,Yes,44.07,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,2,1,5717,Female,70,No,Yes,No,Yes,2
7,Offer E,Yes,26.95,No,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,1,4419,Female,77,No,Yes,No,Yes,2
11,Offer D,Yes,11.59,No,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,1,5980,Female,78,No,Yes,No,Yes,1
15,Offer D,Yes,29.11,No,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.95,1,1,4616,Male,65,No,Yes,No,No,0
1,Offer E,No,0.0,No,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,2,1,5828,Male,77,No,Yes,Yes,No,0
3,Offer E,No,0.0,No,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,2,1,2314,Male,67,No,Yes,No,No,0
13,Offer D,Yes,32.68,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,1,1,2494,Male,68,No,Yes,No,No,0
16,Offer D,Yes,9.43,No,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,1,3810,Female,68,No,Yes,No,No,0
8,Offer E,Yes,1.78,No,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,2,1,4345,Male,66,No,Yes,No,No,0
24,Offer C,Yes,30.87,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,2,1,2018,Male,69,No,Yes,No,No,0
4,Offer E,Yes,31.61,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,3,1,3677,Female,74,No,Yes,No,No,0
32,Offer C,Yes,47.34,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,2,1,4105,Male,76,No,Yes,Yes,No,0
24,Offer C,Yes,16.1,No,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.45,2,1,2212,Male,77,No,Yes,Yes,No,0
54,Offer B,Yes,12.08,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1,1,4149,Female,70,No,Yes,No,No,0
2,Offer E,Yes,13.17,No,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,3,1,2671,Female,74,No,Yes,No,No,0
21,Offer E,No,0.0,No,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,1,1,4778,Female,77,No,Yes,No,No,0
27,Offer E,No,0.0,No,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,1,1,2927,Male,71,No,Yes,Yes,No,0
11,Offer E,Yes,29.54,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,1,1,5888,Male,79,No,Yes,Yes,No,0
55,Offer B,Yes,42.82,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,1,5502,Female,66,No,Yes,Yes,No,0
3,Offer E,Yes,9.22,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36,1,1,2818,Male,77,No,Yes,No,No,0
1,Offer E,Yes,35.09,No,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,2,1,4902,Female,80,No,Yes,No,No,0
5,Offer E,No,0.0,No,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,2,1,4099,Female,77,No,Yes,No,No,0
20,Offer E,Yes,48.73,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,1,1,2666,Female,77,No,Yes,No,No,0
